organisationunitname,periodname,Amoxyl,CHW ACT Stocks: 12s Balance on hand,CHW ACT Stocks: 18s Balance on hand,CHW ACT Stocks: 24s Balance on hand,CHW ACT Stocks: 6s Balance on hand,CHW RDT Stocks: RDT Balance on hand,Diarrhoea ,Diarrhoea  < 5 female,Diarrhoea  < 5 male,Diarrhoea  Referred,Diarrhoea  Referred < 5 female,Diarrhoea  Referred < 5 male,Diarrhoea  Treated ,Diarrhoea  Treated  < 5 female,Diarrhoea  Treated  < 5 male,ORS,Panadol,Pneumonia,Pneumonia  Female < 5,Pneumonia  Male < 5,Positive severe malaria cases_2M to 6Y,RHCC - Actual reports,RHCC - Expected reports,RHCC_Positive malaria cases< 5yrs,RHCC_malaria cases referred< 5yrs,RHCC_malaria cases tested < 5yrs,RHCC_malaria cases treated < 5yrs,Referred for Pneumonia,Referred for Pneumonia < 5 female,Referred for Pneumonia < 5 male,Treated for Pneumonia,Treated for Pneumonia < 5  female,Treated for Pneumonia < 5  male,Zinc
" ce Chipembi RHC Moomboshi A 	",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
" ce Chipembi RHC Moomboshi A 	",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Bombwe Health Post,August 2025,,93,,,,,5,2,3,,,,5,2,3,26,267,,,,,0,15,,1,4,,,,,,,,15
ce Bombwe Health Post,July 2025,,83,,,,,6,4,2,,,,6,4,2,39,308,,,,,0,15,4,,41,4,,,,,,,19
"ce Bombwe RHP Bombwe A		",July 2025,,6,,,,,,,,,,,,,,2,,,,,,0,1,,,4,,,,,,,,2
"ce Bombwe RHP Bombwe A		",August 2025,,10,,,,,,,,,,,,,,4,49,,,,,0,1,,,,,,,,,,,1
"ce Bombwe RHP Bombwe B	",July 2025,,4,,,,,,,,,,,,,,4,49,,,,,0,1,,,,,,,,,,,2
"ce Bombwe RHP Bombwe B	",August 2025,,6,,,,,,,,,,,,,,2,41,,,,,0,1,,,,,,,,,,,2
"ce Bombwe RHP Chipaba A	",August 2025,,6,,,,,3,,3,,,,3,,3,1,31,,,,,0,1,,,,,,,,,,,
"ce Bombwe RHP Chipaba A	",July 2025,,10,,,,,,,,,,,,,,4,49,,,,,0,1,,,3,,,,,,,,2
"ce Bombwe RHP Chipaba B	",August 2025,,10,,,,,,,,,,,,,,2,10,,,,,0,1,,,3,,,,,,,,2
"ce Bombwe RHP Chipaba B	",July 2025,,7,,,,,,,,,,,,,,4,10,,,,,0,1,1,,4,1,,,,,,,2
"ce Bombwe RHP Chipaba C	",July 2025,,7,,,,,2,,2,,,,2,,2,,32,,,,,0,1,,,5,,,,,,,,
"ce Bombwe RHP Chipaba C	",August 2025,,7,,,,,,,,,,,,,,,32,,,,,0,1,,,,,,,,,,,
ce Bombwe RHP Kasamba A,July 2025,,5,,,,,2,2,,,,,2,2,,1,,,,,,0,1,,,6,,,,,,,,
ce Bombwe RHP Kasamba A,August 2025,,5,,,,,1,1,,,,,1,1,,,,,,,,0,1,,,,,,,,,,,
"ce Bombwe RHP Kasamba B					",July 2025,,1,,,,,1,1,,,,,1,1,,2,,,,,,0,1,,,3,,,,,,,,1
"ce Bombwe RHP Kasamba B					",August 2025,,6,,,,,,,,,,,,,,2,,,,,,0,1,,,,,,,,,,,1
"ce Bombwe RHP Lombwa A	",July 2025,,10,,,,,,,,,,,,,,4,49,,,,,0,1,,,,,,,,,,,2
"ce Bombwe RHP Lombwa A	",August 2025,,10,,,,,,,,,,,,,,4,49,,,,,0,1,,,,,,,,,,,2
"ce Bombwe RHP Lombwa B	",July 2025,,10,,,,,,,,,,,,,,4,49,,,,,0,1,,,5,,,,,,,,2
"ce Bombwe RHP Lombwa B	",August 2025,,10,,,,,,,,,,,,,,1,,,,,,0,1,,,,,,,,,,,2
"ce Bombwe RHP Lombwa C			",July 2025,,10,,,,,,,,,,,,,,4,49,,,,,0,1,,,1,,,,,,,,2
"ce Bombwe RHP Lombwa C			",August 2025,,10,,,,,,,,,,,,,,2,49,,,,,0,1,,,,,,,,,,,2
"ce Bombwe RHP Manchester A			",August 2025,,5,,,,,,,,,,,,,,2,6,,,,,0,1,,,,,,,,,,,
"ce Bombwe RHP Manchester A			",July 2025,,5,,,,,1,1,,,,,1,1,,2,11,,,,,0,1,,,3,,,,,,,,
"ce Bombwe RHP Manchester B		",July 2025,,5,,,,,,,,,,,,,,4,,,,,,0,1,,,4,,,,,,,,2
"ce Bombwe RHP Manchester B		",August 2025,,5,,,,,,,,,,,,,,4,,,,,,0,1,,1,,,,,,,,,2
"ce Bombwe RHP Mukuyu A	",August 2025,,3,,,,,1,1,,,,,1,1,,2,,,,,,0,1,,,1,,,,,,,,1
"ce Bombwe RHP Mukuyu A	",July 2025,,3,,,,,,,,,,,,,,4,10,,,,,0,1,3,,3,3,,,,,,,2
"ce Bombwe RHP Mukuyu B	",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Bombwe RHP Mukuyu B	",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi RHC Chachima A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi RHC Chachima A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Chachima B	",July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
"ce Chipembi RHC Chachima B	",August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi RHC Chamuka A,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
ce Chipembi RHC Chamuka A,August 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
