organisationunitname,periodname,Amoxyl,CHW ACT Stocks: 12s Balance on hand,CHW ACT Stocks: 18s Balance on hand,CHW ACT Stocks: 24s Balance on hand,CHW ACT Stocks: 6s Balance on hand,CHW RDT Stocks: RDT Balance on hand,Diarrhoea ,Diarrhoea  < 5 female,Diarrhoea  < 5 male,Diarrhoea  Referred,Diarrhoea  Referred < 5 female,Diarrhoea  Referred < 5 male,Diarrhoea  Treated ,Diarrhoea  Treated  < 5 female,Diarrhoea  Treated  < 5 male,ORS,Panadol,Pneumonia,Pneumonia  Female < 5,Pneumonia  Male < 5,Positive severe malaria cases_2M to 6Y,RHCC - Actual reports,RHCC - Expected reports,RHCC_Positive malaria cases< 5yrs,RHCC_malaria cases referred< 5yrs,RHCC_malaria cases tested < 5yrs,RHCC_malaria cases treated < 5yrs,Referred for Pneumonia,Referred for Pneumonia < 5 female,Referred for Pneumonia < 5 male,Treated for Pneumonia,Treated for Pneumonia < 5  female,Treated for Pneumonia < 5  male,Zinc
no Chilongoshi RHC Chalikosa,July 2025,100,,,,1,,,,,,,,,,,,865,,,,,0,1,7,,11,7,,,,,,,
no Chilongoshi RHC Chalikosa,August 2025,,1,5,5,,,,,,,,,,,,10,600,,,,,0,1,7,,9,7,,,,,,,
no Chilongoshi RHC Chawama,August 2025,,3,1,1,3,,,,,,,,,,,10,260,,,,,0,1,3,,6,3,,,,,,,
no Chilongoshi RHC Chawama,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Chilongoshi RHC Chilongoshi,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Chilongoshi RHC Chilongoshi,August 2025,,4,5,5,5,,,,,,,,,,,10,200,,,,,0,1,,,,,,,,,,,
no Chilongoshi RHC Chisando,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Chilongoshi RHC Chisando,August 2025,,3,3,5,3,,,,,,,,,,,10,157,,,,1,0,1,4,1,4,4,,,,,,,
no Chilongoshi RHC Fataki,August 2025,,4,3,4,5,,,,,,,,,,,10,955,,,,,0,1,2,,4,2,,,,,,,
no Chilongoshi RHC Fataki,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Chilongoshi RHC Maela,August 2025,,4,5,5,4,,,,,,,,,,,10,973,,,,,0,1,1,,3,1,,,,,,,
no Chilongoshi RHC Maela,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Chilongoshi RHC Malakeni,August 2025,,4,,4,4,,,,,,,,,,,,378,,,,,0,1,,,,,,,,,,,
no Chilongoshi RHC Malakeni,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Chilongoshi RHC Malawa,August 2025,,4,4,3,4,,,,,,,,,,,,282,,,,,0,1,2,,2,2,,,,,,,
no Chilongoshi RHC Malawa,July 2025,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,
no Chilongoshi RHC Thomas,July 2025,40,,,,1,,,,,,,,,,,,712,,,,,0,1,9,,19,9,,,,,,,
no Chilongoshi RHC Thomas,August 2025,,1,4,,,,2,2,,,,,2,2,,,436,,,,,0,1,4,,4,4,,,,,,,
no Chilongoshi Rural Health Centre,August 2025,,28,30,32,28,,2,2,,,,,2,2,,60,"4,241",,,,1,0,9,23,1,32,23,,,,,,,
no Chilongoshi Rural Health Centre,July 2025,140,,,,2,,,,,,,,,,,,"1,577",,,,,0,9,16,,30,16,,,,,,,
no Kasama District,July 2025,"3,341",875,297,"1,036",817,,89,43,47,1,1,,88,41,46,"3,734","14,059",314,161,159,,0,134,541,13,878,528,1,,1,306,162,155,"3,048"
no Kasama District,August 2025,"3,541",844,160,885,400,,129,61,68,11,2,1,127,61,68,"2,384","17,619",301,162,175,5,0,134,680,7,"1,113",734,2,,2,318,160,167,"2,115"
no Kasama HP Kasama Zone A 1,August 2025,120,28,,24,30,,1,1,,,,,1,1,,28,,4,,4,,0,1,,,2,,,,,4,,4,58
no Kasama HP Kasama Zone A 1,July 2025,170,30,,30,28,,,,,,,,,,,60,970,,,,,0,1,,,4,,,,,,,,60
no Kasama HP Kasama Zone A 2,August 2025,200,30,,30,,,,,,,,,,,,60,,,,,,0,1,,,,,,,,,,,60
no Kasama HP Kasama Zone A 2,July 2025,"1,080",165,86,50,198,,2,1,1,,,,2,1,1,395,"4,151",27,14,21,,0,1,9,,26,9,,,,35,14,21,699
no Kasama HP Kasama Zone A 3,July 2025,200,30,,30,30,,,,,,,,,,,50,"1,000",,,,,0,1,,,,,,,,,,,60
no Kasama HP Kasama Zone A 3,August 2025,30,,,,,,2,,2,,,,2,,2,56,734,9,4,5,,0,1,,,2,,,,,9,5,5,56
no Kasama HP Kasama Zone B 1,August 2025,200,27,30,,,,,,,,,,,,,50,970,,,,,0,1,,,,,,,,,,,50
no Kasama HP Kasama Zone B 1,July 2025,200,28,30,,,,,,,,,,,,,50,970,,,,,0,1,1,,4,1,,,,,,,50
no Kasama HP Kasama Zone B 2,August 2025,160,28,30,,,,,,,,,,,,,50,800,1,1,,,0,1,,,1,,,,,1,1,,50
no Kasama HP Kasama Zone B 2,July 2025,530,30,,30,30,,,,,,,,,,,195,"2,151",,,,,0,1,,,,,,,,,,,240
